sensitive,feature,metric,association,p_value,p_adj,significant_fdr_5pct,proxy_flag
Gender,Race,cramers_v,0.05092686861086487,2.3150691247106097e-26,3.8893161295138246e-25,True,False
Gender,Age_Group,cramers_v,0.05486195792764337,4.72634506181892e-31,1.3233766173092977e-29,True,False
Gender,Education,cramers_v,0.07120668842282225,3.3338906370168807e-56,5.60093627018836e-54,True,False
Gender,Job_Role_Applied,cramers_v,0.057567086355610184,1.7068011808879893e-34,9.55808661297274e-33,True,False
Gender,Certifications,cramers_v,0.030545344101811634,3.449439867722756e-08,3.6219118611088943e-07,True,False
Gender,Experience_Years,point_biserial_o-v-r,0.03342563570289943,3.936588628597494e-08,3.8902758212022293e-07,True,False
Gender,Screening_Score,point_biserial_o-v-r,0.006997785887039967,0.2502203244814814,0.35929072233238357,False,False
Gender,skill__agile,cramers_v,0.013749741581744095,0.07790635012005688,0.1615835409897476,False,False
Gender,skill__aws,cramers_v,0.017162509662334333,0.01875212008456066,0.058339929151966494,False,False
Gender,skill__budgeting,cramers_v,0.01256718171995097,0.11858683983738014,0.22049308506612153,False,False
Gender,skill__c++,cramers_v,0.007663217827183758,0.452582029864701,0.5470056188292789,False,False
Gender,skill__cold_calling,cramers_v,0.013339253837673534,0.09052476178929278,0.1789195291835434,False,False
Gender,skill__communication,cramers_v,0.004345884012349966,0.7749393149702943,0.8136862807188091,False,False
Gender,skill__conflict_resolution,cramers_v,0.00850534389974951,0.3765886465260444,0.477268220054136,False,False
Gender,skill__crm,cramers_v,0.01914666003347071,0.007090304646364422,0.029779279514730573,True,False
Gender,skill__deep_learning,cramers_v,0.011165770300677072,0.18579622757393588,0.29171744142449746,False,False
Gender,skill__git,cramers_v,0.010283183962554277,0.23989780051862036,0.34743819385455366,False,False
Gender,skill__hr_policies,cramers_v,0.006120060841463439,0.6031167694478179,0.6800242769612981,False,False
Gender,skill__java,cramers_v,0.015892826373674836,0.03304595676966026,0.09571932305694696,False,False
Gender,skill__leadership,cramers_v,0.017256979049647035,0.01794677403102524,0.05688788749457058,False,False
Gender,skill__machine_learning,cramers_v,0.016072596464097984,0.03057927396791668,0.09012838643175443,False,False
Gender,skill__negotiation,cramers_v,0.017765176226202453,0.014113548369177898,0.04838930869432422,True,False
Gender,skill__networking,cramers_v,0.011199083444255374,0.18393683931692925,0.29152253778532183,False,False
Gender,skill__presentation,cramers_v,0.007863736420050756,0.4339535702764491,0.5282913029452424,False,False
Gender,skill__python,cramers_v,0.025346550753633214,0.00017113752687998593,0.0013691002150398874,True,False
Gender,skill__r,cramers_v,0.00536301960446646,0.6782178565893646,0.7436952742056286,False,False
Gender,skill__recruitment,cramers_v,0.014309846414511692,0.06301276150746248,0.14101023781017932,False,False
Gender,skill__scheduling,cramers_v,0.01934972395227709,0.006380176420473633,0.02748383688819411,True,False
Gender,skill__scrum,cramers_v,0.011078472623225671,0.1907313278927708,0.2966931767220879,False,False
Gender,skill__sql,cramers_v,0.027428247188100333,3.883580057767804e-05,0.0003262207248524956,True,False
Gender,skill__statistics,cramers_v,0.011611204283689476,0.16201426754098006,0.2658164897343126,False,False
Gender,skill__rare_,cramers_v,0.0746129578125616,2.292278213365002e-33,9.62756849613301e-32,True,False
Gender,skill_agile,cramers_v,0.009365871923015832,0.30598658500076276,0.4145624700010334,False,False
Gender,skill_aws,cramers_v,0.009259156993812368,0.31430801286374466,0.42242996928887283,False,False
Gender,skill_budgeting,cramers_v,0.011770893859781263,0.15404997434347853,0.2562415414822217,False,False
Gender,skill_c++,cramers_v,0.02345604462721571,0.0005946655573255434,0.003700141245581159,True,False
Gender,skill_cold_calling,cramers_v,0.015524508975749758,0.03863332180668293,0.1046838397342376,False,False
Gender,skill_communication,cramers_v,0.011452549730941508,0.17021854868451336,0.27234967789522135,False,False
Gender,skill_conflict_resolution,cramers_v,0.006503152901500522,0.5650006098735999,0.6527123802978878,False,False
Gender,skill_crm,cramers_v,0.0057022632817430256,0.6447043829771053,0.7220689089343579,False,False
Gender,skill_deep_learning,cramers_v,0.012213172653155118,0.1334963136738584,0.23858915635327882,False,False
Gender,skill_git,cramers_v,0.02134454043622572,0.0021325070196552697,0.011556812235551139,True,False
Gender,skill_hr_policies,cramers_v,0.0066797541758243295,0.5475190277755309,0.6387721990714527,False,False
Gender,skill_java,cramers_v,0.009492935456444652,0.2962464356006254,0.4046292778935372,False,False
Gender,skill_leadership,cramers_v,0.013780023297383783,0.07703448748141446,0.1615835409897476,False,False
Gender,skill_machine_learning,cramers_v,0.003763967919286421,0.8259172965508443,0.8512521829481096,False,False
Gender,skill_negotiation,cramers_v,0.00883595826346212,0.34854039695084277,0.4515262694281164,False,False
